src_text,tgt_text,cosine_score
"10 May – 29th Anniversary of the Inauguration of first democratically elected president
","10 Mudyaxihi – Ku tlangela ka vu29 ka ku Vekiwa Exitulwini ka presidente wo sungula loyi a hlawuriweke hi ndlela ya xidemokirasi
",0.8325049
"This Cabinet meeting took place exactly 29 years to the day when President Nelson Mandela was inaugurated as the first President of a democratic South Africa on 10th May 1994.
","Nhlengeletano leya Khabinete yi vile kona 29 wa malembe kwatsa, eka siku leri Presidente Nelson Mandela a vekiweke exitulwini harona tanihi Presidente wo sungula wa Afrika-Dzonga ya xidemokirasi hi siku ra vu10 Mudyaxihi 1994.
",0.8755676
"After three and a half centuries of colonialism and separate development where one’s ability to have access to basic services were on the basis of one’s skin colour, a democratic South Africa set inclusive development goals to achieve a prosperous, non-racial, non-sexist and equal society.
","Endzhaku ka malembexidzana manharhu na hafu ya xikoloni na nhluvukiso wo hambana laha ku va munhu a kota ku fikelela vukorhokeri bya masungulo a swi ya hi muhlovo wa nhlonge ya munhu, Afrika-Dzonga ya xidemokirasi yi vekile swikongomelokulu swa nhluvukiso leswi katsaka hinkwavo ku fikelela rixaka leri humelelaka, leri nga yiki hi nghohe, leri nga yiki hi rimbewu na ku va ro ringana.
",0.8988532
"While many gains have been made since 1994, much more still needs to be done to realise the country’s development goals.
","Loko mivuyelo yo tala yi endliwile kusukela hi 1994, ka ha ri na swo tala swinene leswi faneleke ku endliwa ku fikelela swikongomelokulu swa tiko swa nhluvukiso.
",0.8954027
"The South African Reserve Bank has released an upgraded series of banknotes and coins, which celebrate our constitutional democracy and pay tribute to our beloved Madiba.
","Bangikulu ya Afrika-Dzonga yi humesile mitlhandlamano leyi antswisiweke ya timali ta phepha na swingwece, leswi tlangelaka xidemokirasi xa hina xa vumbiwa na ku xixima murhandziwa wa hina Madiba.
",0.8790853
"Presidential Health Summit
","Nhlengeletano ya Xiymo xa le Henhla ya Rihanyo ya Presidente
",0.8599075
"The second Presidential Health Summit held on 4-5 May 2023 focussed on nine pillars of the 2019 Presidential Health Compact: human resources access to medicine, vaccines and health products infrastructure private sector engagement quality healthcare public sector financial management improvements governance and leadership community engagements information systems and pandemic preparedness.
","Nhlengelatano ya Xiyimo xa le Henha ya Rihanyo ya Presidente leyi yi khomiweke hi 4-5 Mudyaxihi 2023 yi kongomise eka kaye wa tiphuphu ta Ntwanano wa Rihanyo wa Presidente: vatirhi ku fikelela murhi, misawutiso na swikumiwa swa rihanyo switirhisiwakulu mbulavurisano na sekitara leyi nga riki ya mfumo nhlayiso wa rihanyo wa xiyimo xa le henhla ku antswisiwa ka malawulelo ya timali ta sekitara ya mfumo mafumelo na vurhangeri mivulavurisano na vaaki vufambisi bya mahungu na ku tilulamislelela mitungukulu.
",0.88031054
"One of the outcomes of the Summit was the renewed commitment to implement the National Health Insurance (NHI).
","Wun'wana wa mivuyelo ya Nhlengeletano ya Xiyimo xa le Henhla a ku ri ku tiyimisela loku pfuxetiweke ko simeka Ndzindzakhombo wa Rihanyo ra Rixaka (NHI).
",0.8517399
"This is part of a programme to reduce disparities in accessing health care services by alleviating the financial burden for accessing healthcare services.
","Lexi i xiphemu xa nongoloko wo hunguta ku hambana eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo hi ku hunguta ndzhwalo wa timali eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo.
",0.8989183
"Cabinet welcomes the adoption of measures that are needed to recalibrate the health system and accelerate the NHI reforms.
","Khabinete yi amukela ku amukeriwa ka magoza lama lavekaka ku tiyisa sisiteme ya rihanyo na ku hatlisisa ku cinca ka NHLeswi swi yisa tisisiteme ta hina ta rihanyo ekusuhi na ku korhokela vanhu va Afrika-Dzonga ku antswa.
",0.79948044
"These move our health systems closer to better serve South Africans.
","Eneji
",0.19787574
"Energy
","Mfumo wu le ku tirhisaneni na Eskom ku hatlisisa ku lunghisiwa ka tiyuniti leswi ku vangeke ku tirhisiwa ka gezi hi ku siyerisana ka Xiteji xa 6 eka masiku lama ha ku hundzaka naswona swi heteke matimba ndzima leyi khatsiweke eka nongoloko wo antswisa nsirhelelo wa eneji etikweni.
",0.2625056
"Government is working closely with Eskom to fast-track the repair of units that have resulted in Stage 6 load shedding in recent days and frustrated progress in the programme to improve energy security in the country.
","Ntirho wa matimba wu le ku endliweni eka Eskom ku engetela Nkarhi wa Vukona bya Eneji eka Nhlangano hi ku tirhisa ku hlayisiwa ko tivikana, ku tlakusiwa ka ntirhiso wa Swipelupelu swa Gasi swa Ndzhendzheleko wo Pfuleka, ku kuma vuswikoti byo endla gezi byo engetela kusuka eka vuvekisi lebyi nga riki bya mfumo eka gezi leri pfuxeleriwaka na ku tlakusa xilemukiso ku antswisa Malawulelo ya Tlhelo ra ku Laveka kusuka eka vatirhisi va gezi lavakulu na kusuka emitini.
",0.74952865
"Intense work is underway at Eskom to increase the Utility’s Energy Availability Factor through substantial maintenance, maximising the use of Open Cycle Gas Turbines, securing additional generation capacity from private investment in renewables and scaling up awareness to improve Demand Side Management from large electricity users and from households.
","Swiendlo swo onhetela hi xivangelo xa tipolitiki swi ya emahlweni swi onha switirhisiwankulu swa Eskom naswona hikokwalaho ku rhumeriwa loku ya ka emahlweni ka 880 wa swirho swa SANDF ku sirhelela switici swa gezi swa Eskom swo tala i xiphemu xa magoza yo sivela ku ringeta ku wisa giridi ya rixaka.
",0.7399387
"Acts of sabotage continue to plague the Eskom’s infrastructure and therefore the continued deployment of 880 SANDF members to safeguard a number of Eskom power stations is part of measures to prevent attempts to collapse the national grid.
","Khabinete yi amukele xiboho xa ku aphila xiboho xa Khotokulu ya Pitori lexa ha ku vaka kona lexi leriseke Eskom ku nga katsi mihlangano ya mfumo, ku katsa na swikolo, titliliniki, swibedhlele, na switichi swa maphorisa, eka ku tirhisiwa ka gezi hi ku siyerisana hi ku ya hi leswi vuavanyisi lebyi byi vulaka swona.
",0.7021632
