tn,en,src_text,trg_text,Cosine_Score
"[ 1.2842584  -0.35692015  0.066638   ...  0.72948307  1.171619
  2.6311257 ]",[0.00695242 0.0003921  0.00403557 ... 0.01758472 0.01520767 0.01681366],Pegelo ya Kopano ya Kabinete ka la bo 13 Tlhakole 2019 kwa Tuynhuis kwa Motse Kap Merero ya ga jaananong 1.,"Cabinet met on Wednesday, 13 February 2019 at Tuynhuys in Cape Tow",0.8423985
[0.9733562  0.21888576 0.41194668 ... 0.99492717 0.9102178  1.415623  ],[0.02964138 0.00315757 0.01516678 ... 0.03184378 0.04381497 0.04933368],"Puo ya Maemo a Set haba (SoNA) Kabinete e amogela SoNA ya 2019 ya Moporesidente Cyril Ramaphosa, eo e supang dingwaga di le 25 tsa Kopanotshwaraganelo ya ntlha ya Aforika Borwa wa temokeras Bontsi jwa maAforika Borwa, le bona ba amogela puo, eo e tswelelang go neelana ka tsholofelo le nt hwafats Moporesidente Ramaphosa o buile ka kgatelolepe e e dirilweng mo ngwageng o o fetilen Re agelela mo dikatlegong tseno, Moporesidente o tlhagisitse dintlhatebelelo tsa monongwag Tseno di tsenyeleditse go tswelela ka mekgwa ya tsenogare go itlhaganedisa kgolo ya ikonomi e e tsenyeletsang botlhe le go tlhama ditiro; go tsosolosa tsamaiso ya thuto ya rona le go tlhabolola bokgoni tebang le isago le go oketsa ntwa kgatlhanong le bonweenwee le go gogwa ga puso ka nk Mo bekeng e e latelang, Tona ya Matlotlo Tito Mboweni o tla tlhalosa ka botlalo leano la dit helete fa a neela Puo ya gagwe ya Tekanyetsokab Ka go dirisa dipuo tsa thebolo ya tekanyetsokabo tsa mafapha, Ditona di tla tlhalosa maano a tiragatso a bona ao a tla diragatsang SoNA ya Moporesident Kabinete e santse e itomile sesino go isa naga ya rona kwa go fitlheleleng Pono ya 2030 ya Leano la Tlhabololo la Boset haba (NDP), lenaanetheo la go fedisa bohuma le go fokotsa go sa lekaleneng mo nageng ka 203 Indaba ya Meepo ya Aforika Aforika Borwa e tshwere ka katlego Peeletso ya Indaba ya Meepo ya Aforika ya bo 25th ya ngwaga le ngwaga, eo e leng kokoano e kgolo ya lefatshe ya batsholadi ere ba meepo le badiraditshwets Mo letsholong la go ngoka peeletso mo go tsa meepo, indaba ya monongwaga e ne e tsherwe ka fa tlase ga setlhogo:","facilitated opportunities in the country s oil and gas sector for growth and investmen South Africa has potential resources of nine billion barrels of oil and 60 tcf (trillion cubic feet) or 11 billion barrels of oil equivalent of gas offshor Cabinet has lauded the offshore discovery of gas condensate by oil company Total that could contain one billion barrels of resources, which will significantly boost the country's oil and gas supplie The discovery was made by the company after drilling at its Brulpadda prospects in the Outeniqua basin, about 175 kilometres (km) off the coast of South Africa 32nd Ordinary Session of the African Union (AU) Cabinet congratulates the appointment of President Ramaphosa as Chair of the AU for 2020.",0.83715034
"[-0.08329664 -0.74491554  0.10679261 ...  0.1981163   0.7242058
  0.41662347]","[ 0.00294717 -0.00074177 -0.00046284 ...  0.00281915  0.01193309
  0.02558062]",Go tshegetsa Tlhabololo e e Tsepameng ya Ikonomi ya Aforik,Championing Africa s Sustainable Economic Development .,0.7854738
[0.52660054 0.612738   0.53425354 ... 0.919737   0.7531765  1.0199771 ],"[ 1.32941725e-02  4.27605992e-05 -1.76125410e-04 ...  3.17127332e-02
  1.52896792e-02  1.60268061e-02]","Kabinete e amogela tumelano e e saenilweng ya batsholadi ere ba meep Tumelano e tla fitlhelela kwa kgakala go isa go tsweletso ya dipeeletso tsa bodit haba ka tlhamalalo mo diseketareng tse di farologaneng tsa intaseteri ya meep Puso, ka Pholisi ya Intaseteri ya Leano la Tiro ya Lefapha la Kgwebisano le Intaseteri (dti), le supile kaonafatso ya diminerale e le karolo eo e tlhagisang bontsi jwa dit hono tseo babeeletsi ba ka di dirisang go godisa lekala la meep Seno se neelana ka kgonagalo e kgolo ya go ka nna le seabe mo go godiseng ikonomi, go tlhama ditiro, go fetola le go fedisa bohuma Eskom Tona ya Dikgwebo tsa Set haba Pravin Gordan o itsisitse Kabinete ka ga go timiwa ga motlakase go go diragalang ga jaana go go amileng tsamaiso ya ikonomi go ralala nag Dikgoreletsi tseno di nnile le seabo se se golo go gaisa mo matshelong a maAforika Borwa le mo ikonomin Motswedi wa eneji wa Aforika Borwa o nna o le botlhokwa thata mme seemo sa ga jaana kwa Eskom e baya pele matshosetsi a a bonalang go naga, maemo a a tlhomameng a dit helete a sona le ikonom Togamaano ya go tlhatlhomolola Eskom go nna ditheo tse tharo tse di ikemetseng tsa Puso","Cabinet welcomes the signed mining stakeholder compac The compact will go a long way towards promoting foreign direct investments in different sectors of the mining industr Government, through the Department of Trade and Industry s (the dti) Industrial Policy Action Plan, has identified mineral beneficiation as an area that presents an abundance of opportunities that investors can take advantage of to grow the mining secto This provides massive potential of contributing to growing the country s economy, creating jobs, transformation and eradicating poverty ESKOM Public Enterprises Minister Pravin Gordan briefed Cabinet on the recent load-shedding that affected the running of the economy across the countr These disruptions have had an immeasurable impact on South African households and the econom",0.8853552
[0.6184145  0.7637318  0.00602904 ... 1.020108   0.96980655 1.4251474 ],[0.03060573 0.00399446 0.007707   ... 0.02932077 0.05146173 0.07311557],"tlhagiso; phetiso le kabo phatlhalatso - e a tlhokega tebang le paka e telele ya go ikemela ga setheo sa motlakase le nag Go mekamekana le seemo sa ga jaana, Moporesidente Ramaphosa o thapile Komiti e e Kgethegileng ya Kabinete ya Eskom e e eteletsweng pele ke Motlatsa Moporesidente le go diriwa ke Tona ya Lefapha la Dikgwebo tsa Puso: Tona ya Lefapha la Eneji: Tona ya Lefapha la Matlotlo: Tona ya Lefapha la Dipalangwa; Tona ya Tshireletso ya Puso le Tona ya Sepodis Komiti eno e tla mekamekana le merero ya Eskom letsatsi le letsatsi le go rebola dipegelo tsa letsatsi le letsatsi go Moporesidente ka ga gore ke dikgato dife tse di tlhokang go tsewa go bona motswedi wa enej Setlhopha se solofetswe go kopana le baamegi botlhe go thusa go busetsa seemong tsepamo ya kiriti le go betla tsela e e yang kwa pele fa ba ntse ba netefatsa gore go na le ditshenyegelo tsa ikonomi tse di nnye go badirisi le go baduela lekgetho Tshwanelo ya go tlhopha Kabinete e akgola maAforika Borwa otlhe, bogolosegolo diketekete tsa ba wa le batlhophi bao e tla bong e le lekgetlo la ntlha ba tlhopha, bao ba tsereng karolo mo mafelong a beke a bofelo a go ikwadisetsa go tlhopha ka la bo 26 le la bo 27 Ferikgong 2019 pele naga e tshwara ditlhopho tsa borataro tsa ditlhopho tsa boset haba le tsa diporofense ka la bo 8 Motsheganong 2012.","To address the recent situation, President Ramaphosa has appointed a Special Cabinet Committee on Eskom led by the Deputy President and comprising the Ministers of Public Enterprises; Energy; Finance; Transport; Intelligence and Polic This committee will deal with matters of Eskom daily and deliver daily reports to the President on what actions need to be taken to secure energy suppl The team is expected to meet with all stakeholders to help restore stability to the grid and chart a way forward whilst ensuring that there is minimal economic cost to the consumer and taxpayers Right to vote Cabinet congratulates all South Africans, especially thousands of young and first-time voters, who participated in the last voter registration weekend on 26 and 27 January 2019 before the country holds its sixth democratic national and provincial elections on 8 May 2019.",0.84903777
[0.99020857 0.33196175 0.02669549 ... 0.83838224 1.0596478  1.1342298 ],"[ 2.6689304e-02  1.1652724e-05 -1.6034553e-04 ...  3.6297474e-02
  3.6879335e-02  2.4005327e-02]","Kabinete e ikuela go batlhophi botlhe ba ba dumeletsweng go dirisa tshwanelo ya bona ka tlhomamo le go ikuela go maAforika Borwa bao ba iseng ba ikwadisetse go tlhopha, go dira jalo kwa dikantorong tsa Khomi ene e e Ikemetseng ya Ditlhopho (IEC) tse di butsweng go ralala nag O ka nna wa tlhola maemo a gago a ikwadiso ya go tlhopha ka go romela nomoro ya gago ya boitshupo ka molaetsakhutshwe (SMS) go 32810 (SMS e le nngwe ke R) kgotsa o ka tsenya epe ya batlhophi ya mahala ya IEC mo mogaleng wa gago wa seatla le go e dirisetsa go tlhola dintlha tsa gago tsa ikwadis E sale re bona temokerasi, re agile temokerasi ya molaotheo e e golang ka ditheo tse di netefatsang ditshwanelo tsa motheo tsa rona le dikgololeseg Go ya pele, go tsentswe manaane mo tirisong go fetola ikonomi le go arabela bontsi jwa dikgwetlho tsa rona tsa ikonomi ya loag Ditlhopho tse di tlang ke t hono ya losika le le leswa la ba wa ba maAforika Borwa go dirisa tshwanelo ya bona ya go tlhopha, le go tlhagisa maikutlo a bona ka isago ya bona le ya naga Go Ribololwa ga oli le gase ke setlamo sa Total","Cabinet calls on all eligible voters to exercise their right responsibly and appeals to South Africans who have not yet registered to vote, to do so at Independent Electoral Commission (IEC) offices which are open around the countr You can also check your voter registration status by sending an SMS with your ID number to 32810 (R per SMS) or install the IEC s free mobile app for voters and use it to check your registration detail Since the birth of our democracy, we have built a thriving constitutional democracy with institutions that ensure our basic rights and freedom Furthermore, programmes have been implemented to structurally transform the economy and address our many socio-economic challenge The upcoming elections are an opportunity for a new generation of young South Africans to exercise their right to vote, and have a say in their future and that of our country Total oil and gas discovery",0.88886416
"[ 0.5096236  -0.36988932 -0.09325714 ...  0.29923302 -0.05037051
  0.68418485]",[0.0163994  0.00151714 0.0039127  ... 0.03045197 0.00952135 0.02015733],"Jaaka karolo ya maiteko a boset haba a go godisa ikonomi le go tlhama ditiro, puso e","As part of the national effort to grow the economy and create jobs, government has",0.7059858
"[ 1.2970662  -0.14404674  0.7421288  ...  1.0500243   1.2378694
  1.5802411 ]","[ 6.1179637e-03 -5.3745691e-05  2.3243667e-03 ...  4.3827858e-02
  3.2326821e-02  4.4999711e-02]","ka Operation Phakisa ya Ikonomi ya Mawatle - e kgontshitse dit hono mo lekaleng la oli le gase tebang le kgolo le peelets Aforika Borwa e na le metswedi e e nang le bokgoni ya dibarele di le dibilione di le robongwe tsa oli le 60 tcf (boteng jwa dikhubiki di le trilione) kgotsa dibarele di le dibilione di le 11 tse di lekanang le gase kokwa ga lewatl Kabinete e akgotse khamphani ya Total ka thibololo ya gase ya go ya lewatleng eo e ka nnang le dibarele di le bilione o le mongwe wa metswedi, eo e tla thusang ka tlamelo ya oli le gase ka fa nagen Thankgololo e dirilwe ke khamphani morago ga go epa lefelokepo la Brulpadda kwa bodutelong jwa Outeniqua, bokgakala jwa dikilometara di le 175 go tswa mo lebopong la Aforika Borwa Kopano e e Tlwaelegileng ya bo 32 ya Dit haba tse di Kopaneng tsa Aforika (AU) Kabinete e akgola go thapiwa ga Moporesidente Ramaphosa jaaka Modulasetilo wa AU wa 2020.","Vaccination started on 14 January 2019, with cattle in affected villages, as well as cattle in the 20 km radius around affected village To date, the total number of cattle vaccinated is over 10 000; they are being marked to distinguish them from others South African Film Summit The South African film industry has long been recognised as a catalyst for economic growth and job creation in South Afric The creative and cultural industry, particularly the film sector, also plays a key role in developing the South African story and contributing to the efforts of nation-building and social cohesio In line with this approach, Cabinet welcomes the first South African Film Summit, held in Johannesburg from 4 to 5 February 2019 under the theme:",0.8069057
"[ 1.0558684  -0.444695   -0.26737824 ...  1.5931231   1.7478139
  3.5381994 ]","[ 4.0690057e-02  3.2057926e-02 -4.5727571e-05 ...  3.4707539e-02
  4.1644007e-02  8.6237080e-02]","O tla tsaya marapo go tswa go Moporesidente wa Egepeto e leng Moporesidente Abdel Fattah el-Sisi, yoo ga jaana a tshwereng marapo a paka ya gagwe ya 2012.","He will take over from Egyptian President Abdel Fattah el-Sisi, who is currently serving his term for 2019.",0.86558914
[0.42221314 0.11960311 0.2792828  ... 1.2617444  1.7111291  3.4203792 ],"[ 0.00273075 -0.00029422  0.00094955 ...  0.01704969  0.0312691
  0.06451716]","Moporesidente Ramaphosa o ne a eteletse pele kemedi ya Aforika Borwa go Kopano e e Tlwaelegileng ya bo 32nd ya Dit haba tse di Kopaneng tsa Aforika ya Ditlhogo tsa Dinaga le Dipuso tsa AU, e e neng e tshwaretswe kwa Addis Ababa, Rephaboliking ya Temokerasi ya Bofederale ya Ethiopia go tloga ka la bo 15 Ferikgong go ya go la bo 11 Tlhakole 2019, ka fa tlase ga setlhogo","President Ramaphosa led a South African delegation to the 32nd Ordinary Session of the Assembly of the Heads of State and Government of the AU, held in Addis Ababa, Federal Democratic Republic of Ethiopia from 15 January to 11 February 2019, under the theme",0.9131422
