xh,en,src_text,trg_text,Cosine_Score
"[ 1.0180252  -0.16103919  0.14731754 ...  0.9858719   1.1817602
  1.5302211 ]",[0.0118488  0.00010357 0.00269149 ... 0.01310219 0.00687124 0.03467969],"IKhabhinethi ibibambe intlanganiso ngoLwesithathu, umhla we-10 kweyeKhala ngowama-2019 eTuynhuys, eKap Imiba engundaba-mlonyeni1.","Cabinet met on Wednesday, 10 July 2019 at Tuynhuys in Cape Tow Issues in the environment1.",0.8492817
"[ 0.9923581  -0.2684317  -0.1372501  ...  0.49476114  0.4721255
  0.7413008 ]","[ 0.01603182 -0.00174554  0.01830854 ...  0.02726871  0.04808225
  0.07704023]",Iziphumo zeNgqungquthela yaMazwe angama-20 (i-G20),"Outcomes from the Group of Twenty (G20) Summit Cabinet welcomes the outcomes of the G20 Summit held in Osaka, Japan from 28 to 29 June 2019.",0.68443835
"[ 0.58841765 -0.10639809  0.26531214 ...  0.9475713   1.2041818
  3.0530329 ]","[ 0.00590067 -0.00078432 -0.00051842 ...  0.02407072  0.01715462
  0.03371624]","IKhabhinethi iyazamkela iziphumo zeNgqungquthela ye-G20 ebibanjelwe e-Osaka, eJapan ukususela ngomhla wama-28 ukuya kowama-29 kweyeSilimela 2019.","The President will deliver an opening address to the conference, which is a partnership between the Mapungubwe Institute for Strategic Reflection, the UJ and The Presidenc This conference will reflect on 25 Years of Democracy and offer perspectives on the next 25 years in South Africa s development trajector It will be attended by leading academics, government leaders and representatives of social partners",0.687518
"[ 0.7522471  -0.04538616  0.17955099 ...  0.7928739   1.3714283
  1.1173215 ]","[ 0.01981108 -0.0002138   0.00097495 ...  0.01426597  0.03917825
  0.04416446]","UMongameli ubambe iintlanganiso ezininzi ngethuba kuqhutywa le ngqungquthela ngeenjongo zokuqinisa ubudlelwane namazwe amaninz Ubambe intlanganiso noSihlalo weMbumba ye-Afrika (i-AU) uMongameli Abdel Fattah el-Sisi wase-Egypt bekunye noSihlalo woMbutho oMtsha woPhuhliso lwe-Afrika (i-Nepad), uMongameli Macky Sall waseSenegal, waze emva koko wabamba enye intlanganiso neRussia, enye neChina, enye neJapan, enye neSaudi Arabia, yaze enye wayibamba noMongameli weBhanki yeHlabati, uMnu David Malpas UMongameli Ramaphosa uqukumbele olu hambo lwakhe lwase-Osaka ngokuthi abambe intlanganiso nabezoshishini ngethuba lendibano yezikhulu eziphezulu zecandelo lezoshishino zeli nezaseJapan, i-Japan-South Africa CEO Business Roundtable, ngenjongo zokuthengisa uMzantsi Afrika njengelizwe elinamathuba amahle otyalo-mal Inkokeli zehlabathi ebezikule ngqungquthela zizibophelele ukuba ziza kufaka isandla kumaphulo okuqalisa iNkqubo yowama-203) yoPhuhliso oluZinzileyo kunye nesicwangciso sokusebenza sase-Addis Ababa, i-Addis Ababa Action Agenda Utyelelo lwaseburhulumenteni oluya eLesotho","President Cyril Ramaphosa held a number of engagements on the sidelines of the summit to strengthen relations with a number of countrieHe held trilateral meetings with the African Union (AU) Chairperson, President Abdel Fattah el-Sisi of Egypt, Chairperson of the New Partnership for Africa s Development, President Macky Sall of Senegal, and also bilateral meetings with Russia, China, Japan and Saudi Arabia, as well as the President of the World Bank, Mr David MalpasPresident Ramaphosa concluded his Osaka programme by meeting with business during the Japan-South Africa CEO Business Roundtable to further advance the country as an investment destinatioWorld leaders at the summit affirmed their commitment to the implementation of the 2030 Agenda for Sustainable Development and the Addis Ababa Action Agenda Working visit to Lesotho",0.8975702
"[ 0.8422392   0.5574866  -0.19820446 ...  1.0047983   1.0208789
  1.2651297 ]","[ 0.03834711 -0.00025238 -0.0001661  ...  0.03056467  0.02699163
  0.06355916]","Utyelelo lwaseburhulumenteni lwakutsha nje lukaMongameli Ramaphosa eKingdom of Lesotho belineenjongo zokwakha ubudlelwano obungqingqwa nobushushu phakathi kwala mazwe ethu mabin Ebeye kweliya lizwe nanjengonozakuzaku woMbutho woPhuhliso lwaMazwe aseMazantsi e-Afrika (i-SADC) eLesoth Ngethuba ekweliya lizwe, uMongameli uye wanikwa nengxelo ngendlela eqhuba ngayo inkqubo namalinge okuzisa utshintsho eKingdom of Lesoth Iinkcukacha nokunye akufumanisileyo uMongameli kuza kuba yinxalenye yengxelo aza kuyinika iiNtloko zemiBuso nooRhulumente be-SADC eziza kuba nentlanganiso e-United Republic of Tanzania ngeyeThupha kowama-2013.","President Ramaphosa s recent working visit to the Kingdom of Lesotho continues to build on the strong and cordial relations between our two nation He was also there as the Southern African Development Community (SADC) facilitator to Lesoth During this visit, the President received an update on the progress of the reform process in the Kingdom of Lesoth The update will inform his report to the SADC Heads of State and Government taking place in the United Republic of Tanzania in August 2013.",0.8844958
"[ 0.29560113  0.07805853 -0.33018345 ...  1.0790372   0.6819199
  0.5439694 ]",[0.01931922 0.00199949 0.00138708 ... 0.03514599 0.0270631  0.030358  ],"IKhabhinethi iyakwamkela ukutyikitywa kwesivumelwano ngamaqela ezopolitiko aseLesotho sokusekwa kwequmrhu lesizwe lokuzisa iinguqu, i-National Legislative Reform Authorit Esi sivumelwano sigxininisa ukuba eli qumrhu kufuneka lisekwe ngokwemigaqo yoMthetho wePalamente nokuba eli qumrhu kufuneka likhokele ilizwe xa lisenza utshintsho kumgaqo-siseko, ulawulo, ukhuseleko nakumajelo eendab IKhabhinethi ibongoza onke amaqela ukuba awuxhase umbono wokuba iPalamente ivulwe into leyo eza kuqinisekisa ukuba esi sivumelwano siyamkelwa Ukonakaliswa kwempahla karhulumente IKhabhinethi iyakugxibha ukutshishwakwesikolo samabanga aphantsi eKatlehong, eGauteng ngabantu abebeqhankqalaza kwezi ntsuku zimbalwa zidluliley Akukho sikhalazo sinokusetyenziswa njengesizathu sokutshiswa nokonokaliswa kwamaziko karhulumente afana nezikolo, ezingamaziko okuxhobisa abantwana bethu ngezakhono eziza kufuneka ngoms Kule minyaka ingama-25 idlulileyo, urhulumente ugalele iibhiliyoni ngeebhiliyoni zeerandi kumaphulo okwakha izikolo ezitsha nokuphucula ezi zikhoy Kulo nyaka, urhulumente ubekele bucala imali emalunga neebhiliyoni zeerandi ezingama-30 ezakusetyenziselwa ukwakha izikolo ezitsha nokulungisa ezi zikhoyo zibe kwimo efanelekiley IKhabhinethi icela abantu bakuthi ukuba baziphathe ngenkathalo iziseko zophuhliso eziluncedo kub Icela abantu ukuba basebenzisane namapolisa ukuqinisekisa ukuba abantu abonakalisa izinto zikarhulumente bayabanjwa INgxelo yoMphicothi-ziNcwadi-Jikelele waseMzantsi Afrika (i-AGSA) IKhabhinethi ayonwabanga ziziphumo zabaphicothi zincwadi zoomasipala ezikhutshwe ngu-AGSA kwezi ntsuku zimbalwa zidluliley Ulawulo olugwenxa olubonakele kwiziphumo zophicotho zincwadi zoomasipala abaninzi alwamkelekanga konke konke, ingakumbi kwindlela abayisebenzisa ngayo imali karhulumente oomasipala abaninz Oku kuthetha ukuba iinkqubo zokuhanjiswa kweenkonzo aziqhutywa ngeendlela efanelekiley UMthetho-sihlomelo woPhicotho-zincwadi zikaRhulumente, wowama-2018 (uMthetho 5 wowama-2018), unika i-AGSA igunya lokunyanzelisa abo balawula imali gwenxa ukuba baphendule ngezenzo zabo nelokulwa ukusetyenziswa kakubi nangokungakhathali kwezinto zombuso, ingakumbi koomasipala ekusele kulithuba ngoku kungabonakali bungcono kwiziphumo zophicotho-zincwadi zab","Cabinet welcomes the signing of an agreement by political parties in Lesotho to establish a statutory National Legislative Reform Authorit The agreement stipulates that a reform authority will be constituted in terms of an Act of Parliament and that the authority will guide the country in effecting constitutional, governance, security and media reform Cabinet appeals to all the parties to support the resumption of the Parliament that will ensure the adoption of the agreement Destruction of public property Cabinet condemns the recent burning of a primary school in Katlehong, Gauteng by protester No measure of grievance justifies the destruction of a public property such as a school, which serves as a critical stepping stone towards building the future of our childre Over the past 25 years, government has invested billions of rands in the construction of new schools and upgrading of existing school infrastructur This year, government has allocated around R30 billion to build new schools and maintain existing infrastructur Cabinet urges communities to take care of their infrastructure, which benefits the It also calls on community members to work with police to ensure that people who destroy public property are arrested Auditor-General of South Africa (AGSA) Report Cabinet is concerned about the audit outcomes of municipalities released by the AGSA recentl The unacceptably high levels of poor governance, particularly the management of public funds in a number of municipalities, suggest ineffective and poor execution of service-delivery programme The Public Audit Amendment Act, 2018 (Act 5 of 2018), gives the AGSA the authority to hold those found responsible for poor financial management accountable and to curb the abuse of state resources, especially in municipalities which have consistently shown no improvement in their respective outcome Additionally, working through the Minister of Cooperative Governance and Traditional Affairs, Dr Nkosazana Dlamini Zuma, and National Treasury, Cabinet endorses the Back to Basics implementation plan which drives capacity-building in municipalitie The plan, amongst others, seeks to build the competency of personnel through training and skills transfer, and the enforcement of minimum compliance standards for municipal managers and senior official Working with the provincial leadership, Minister Dlamini Zuma will continue to provide the necessary support to municipalities Fourth Industrial Revolution (4IR) Cabinet is pleased that South Africa has successfully hosted its first Digital Economy Summit, held in Johannesburg on 5 July 2019, as a critical milestone in shaping a coherent 4IR plan for the countr President Ramaphosa, future forecaster George Friedman, labour, academia and civil society attended the summit, which stimulated dialogue, understanding and action plans that will position South Africa as a competitive global playe Cabinet also welcomes the plans by Google to build a new undersea cable from Portugal to South Africa that will deliver 20 times more network capacity, ensuring faster Internet servic The cable is expected to be completed in 2021.",0.86784184
"[ 0.70098406  0.03964649 -0.05402077 ...  0.9314622   1.2052734
  1.3509469 ]",[0.03378042 0.01304674 0.00083061 ... 0.02851715 0.04083361 0.04737126],"Ukongeza, iKhabhinethi, isebenzisana noMphathiswa woLawulo lweNtsebenziswano nezeMicimbi yeMveli, uGq Nkosazana Dlamini Zuma kunye noNondyebo weSizwe, iyasivuma isicwangciso sokufezekisa inkqubo yokuBuyela kuNdalashe eyiyo ekhokela amaphulo okuphuhliswa kwezakhono koomasipal Esi sicwangciso, phakathi kwezinye izinto, sineenjongo zokuphuhlisa izakhono zabasebenzi ngokubaqeqesha nokubafundisa izakhono ezitsha, nokunyanzelisa ukuthotyelwa kwemigaqo nemithetho ngabaphathi boomasipala namagosa azizikhul Esebenzisana neenkokeli zamaphondo, uMphathiswa uDlamini Zuma uza kuqhubeleka enikeza ngoncedo olufunekayo koomasipala IXesha lobuChwepheshe Bale Mihla (i-4IR) IKhabhinethi ichulumancile kukuba uMzantsi Afrika ubambe ngempumelelo iNgqungquthela yokuqala yoQoqosho lwe-Intanethi, eRhawutini ngomhla wesi-5 kweyeKhala 2019.","Studios), which made it possible for black and white artists to work together on a professional level, despite the apartheid legislatio Mama Vivian Magdalene Sarah Daniel She was a great stalwart and role model who served the nation in the fight against aparthei Her selfless activism saw her legacy live on in the communities she contributed to around Cape Tow Former ambassador, Dr Khorshed Ginwala, who was one of democratic South Africa s first women ambassadors and a pioneer in the fight for freedo Mr Mandla Maseko, who was set to be the first black African in spac In 2014, Mr Maseko beat one million competitors to become one of the 23 people to get a seat on a sponsored Axe Apollo Space Academ Veteran actress Mama Nomhle Nkonyeni, who passed on at the age of 77.",0.8439585
"[ 0.9368973   0.8440765  -0.03170119 ...  1.1946502   1.0664389
  0.6769855 ]","[ 0.00585158  0.00363921 -0.00015115 ...  0.03073402  0.04457396
  0.03663676]","Le Ngqungquthela iyindibano ebaluleke kakhulu eza kuba negalelo ekuqinisekiseni ukuba isicwangciso se-4IR sesizwe siyasebenz UMongameli Ramaphosa, umqikeleli (usiyazi) uGeorge Friedman, icandelo lezabasebenzi, izifundiswa","President Ramaphosa recently awarded her the National Order of Ikhamanga in recognition of her work as an artis Aggrey Road in New Brighton in the Eastern Cape, where she grew up, was renamed in her honou She acted in shows such as Mzansi, Tsha Tsha, Igazi and the 2007 mini-series, Societ Mama Susan Manana Matona",0.7355124
"[ 0.5656223  -0.00499662  0.2928223  ...  0.8592116   1.1438885
  1.8272544 ]",[0.01910513 0.05463719 0.01102244 ... 0.02906793 0.02010558 0.0490685 ],"kunye nemibutho yoluntu bonke bebeyizimasile le ngqungquthela, ethe yavusa umdla yenza i-4IR yangundaba-mlonyeni, yaqondwa yabangela nokuba kubhalwe izicwangciso zokusebenza eziza kwenza uMzantsi Afrika ube lilizwe elikwaziyo ukukhuphisana namazwe ehlabathi kweze-4I IKhabhinethi iyazamkela izicwangciso zika-Google zokugrumbela zifake phantsi kwamanzi umbhobho oza kuhamba iintambo ze-intanethi, usuka ePortugal uze eMzantsi Afrika ngolo hlobo ukhulise umthamo weziseko zobuchwepheshe be-intanethi ngokuphindwe kangangama-20, ukuzekuqinisekiswe ukuba i-intanethi isebenza ngesantya esiphezul Lo mbhobho kulindeleke ukuba ugqitywe ngowama-2021.","Such interventions will contribute towards making South Africa conducive to potential domestic and international investors Energy Cabinet welcomes Eskom s announcement that Unit 3 of the Medupi Power Station near Lephalale in Limpopo has reached commercial operation and has been synchronised into the national gri This will provide an additional capacity of 796 megawatt The World Bank has also expressed confidence in government s efforts to support Esko While we continue to support Eskom, Cabinet calls on South Africans to continue to use electricity efficiently, particularly between 17:00 and 21:00, when energy demand from households is at its highest in the country Crime Cabinet expressed shock and dismay following the murder of at least",0.8114382
"[ 0.5827657  -0.28281242 -0.02477293 ...  0.42261332  1.380161
  1.7428744 ]","[ 0.01359728 -0.0006025   0.00819861 ...  0.03724412  0.02881466
  0.04164436]",Amanyathelo afana nala aza kuba negalelo kumaphulo okwenza uMzantsi Afrika ube lilizwe elifanelekileyo kubatyali-mali balapha ekhaya nabamazwe angaphandle 6.,"respective plans for the year, which give effect to the 2019-2024 Medium Term Strategic FrameworkCabinet encourages citizens to engage with the budget votes and hold departments to accoun Budget votes ensure that public funds are spent according to government s priorities and in ways that will most benefit South African Cabinet decisions Cabinet approved the submission of the country s Voluntary National Review Report to the United Nations (UN).",0.68664026
